rl,rc,rs,rn,re,ro,rf
8,10,1,0,0,0,36
128,10,2,11,4,4,2881
7,3,1,1,4,3,0
21,3,22,9,2,2,0
26,11,18,11,5,2,0
145,13,11,11,3,4,128
128,1,13,3,25,25,3329
12,8,6,14,14,14,128
8,4,7,5,12,12,128
129,4,3,10,12,12,0
130,4,9,26,11,13,0
131,4,4,12,13,10,0
132,4,11,13,9,9,0
133,4,12,6,10,11,0
134,6,7,15,17,16,18
135,6,14,14,16,17,18
136,6,17,17,14,15,18
137,6,16,16,15,14,18
138,6,19,4,19,19,2
139,6,20,18,18,18,2
140,6,25,19,24,21,2
29,2,23,22,20,20,0
128,15,21,23,22,22,3073
4,7,22,21,6,6,0
30,5,26,25,21,20,0
8,13,24,26,12,12,0
4,13,6,24,3,3,0
141,6,22,28,29,29,8
142,6,27,27,30,30,8
143,6,30,30,27,27,8
144,6,29,29,28,28,128
