rl ,rc ,rs ,rn ,re ,ro ,rf  ,texto
 12, 10,  8, 18,  0,  0,36  , sala  0 OK dentro do castelo amarelo
148, 15,  4, 31,  2, 19,0   , sala  1 OK labirinto central 1 
149, 15,  5,  5,  3,  1,0   , sala  2 OK labirinto central 2
150, 15, 31, 23, 23,  2,0   , sala  3 OK labirinto central 3
151, 15,  1,  1,  5, 31,0   , sala  4 OK labirinto central 4
152, 15,  2,  2, 31,  4,128 , sala  5 OK labirinto central 5 (start)
128,  1,  7, 21,  6,  6,3329, sala  6 OK castelo preto (=>outra cor)
147,  1,  2,  6,  7,  7,128 , sala  7 OK dragon hall
128, 10, 23,  8,  4,  4,0   , sala  8 OK castelo amarelo 
129,  4, 28, 10, 12, 12,0   , sala  9 labirinto azul 1
130,  4,  9, 26, 11, 13,0   , sala 10 labirinto azul 2
131,  4,  4, 12, 13, 10,0   , sala 11 labirinto azul 3
132,  4, 11, 13,  9,  9,0   , sala 12 labirinto azul 4
133,  4, 12, 29, 10, 11,0   , sala 13 labirinto azul 5
134,  6, 22, 15, 17, 16,18  , sala 14 OK labirinto do castelo preto 1 (neste mapa acessivel pelo castelo branco)
135,  6, 14, 14, 16, 17,18  , sala 15 OK labirinto do castelo preto 2 (neste mapa acessivel pelo castelo branco)
136,  6, 17, 17, 14, 15,18  , sala 16 OK labirinto do castelo preto 3 (neste mapa acessivel pelo castelo branco)
137,  6, 16, 16, 15, 14,18  , sala 17 OK labirinto do castelo preto 4 (neste mapa acessivel pelo castelo branco)
 12, 10,  0, 26,  3,  4,2   , sala 18 OK fundos do castelo amarelo
  5, 15, 29, 22,  1, 27,2   , sala 19 OK hall do castelo branco
  3, 13,  7,  5, 27, 31,2   , sala 20 OK hall do castelo roxo - I
146,  1,  6,  5,  4,  3,0   , sala 21 OK sala da portal gun
128, 15, 19, 14, 22, 22,3073, sala 22 OK castelo branco
 15, 10,  3,  8, 24,  3,0   , sala 23 OK antessala do castelo amarelo
  6, 10, 20, 25, 10, 23,0   , sala 24 OK contorno castelo amarelo 1
 10, 10, 24,  4, 20, 26,0   , sala 25 OK contorno castelo amarelo 2
  9, 10, 18, 31, 25, 13,0   , sala 26 OK contorno castelo amarelo 3
  6, 13, 23, 28, 19, 20,8   , sala 27 OK hall do castelo roxo - II
128, 13, 27,  9, 19,  3,2881, sala 28 OK Castelo X
  8, 13, 13, 27, 26, 25,8   , sala 29 OK salao do castelo roxo
144,  6, 29, 29, 28, 28,128 , sala 30 
153, 15,  1,  3, 20,  5,128 , sala 31 OK labirinto central 6
